"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"13659",20807,"210512c6-a2eb-4dcb-86f3-6c8aedf4e713","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","ac86cea4-29cc-4860-84a1-1973ac85d8f9","Fort Collins Brookdale Missing At-Risk Residents","SEARCH","7/3/2021 11:22:00 AM",1,"YES",18,112,608,"","SUBURBAN","CITY",2,"ALZHEIMERS/DEMENTIA",67,"FEMALE","UNKNOWN","UNKNOWN",2,-105.060149,40.5196950000001
"13661",20801,"0b1faad0-9ca7-40db-8c48-c9b73bba7bd6","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","cf86e225-af50-463e-9f3f-1180f8e315d1","Fort Collins Residential Missing Autistic Child","SEARCH","4/26/2021 6:26:00 AM",1,"YES",5,1,75,"AIRCRAFT-UAV","SUBURBAN","CITY",1,"DIMINISHED_CAPACITY:_OTHER",10,"FEMALE","UNKNOWN","UNKNOWN",1,-105.052594,40.53744
"13715",7917,"bfd0174a-3cd2-4f2e-a7f0-fb7859566895","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","69ed6de5-0f32-4dbe-8e36-7fe4290627cf","20P011516 Lost Remuda Trail Incident","RESCUE","6/30/2020 1:00:00 AM",1,"YES",9,78,0,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"HIKING",26,"MALE","UNKNOWN","UNKNOWN",1,-107.0162,39.1093300000001
"13716",933,"39c24ed3-76ea-4d89-bf5b-286e5d6f3166","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","58dfc69b-bf77-4ed5-a769-b1a9e0a65dbf","21P003959 Walshes-Northstar OB Skiers","SEARCH","4/6/2021 10:00:00 PM",1,"YES",16,56,20,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",19,"MALE","UNKNOWN","UNKNOWN",2,-106.8009,39.1689400000001
"13787",4771,"efcab139-1f81-4a5f-a0db-1343b3dadc4e","","Chaffee_County_SAR_North","Rocky Mountain Region","F52F7D50-1C34-4E4C-8DDD-9C2C349977EF","005-2018","MEDICAL_AID","4/7/2018 4:54:00 PM",1,"YES",9,12,107,"","WILDERNESS","STATE",1,"FISHING",62,"MALE","UNKNOWN","UNKNOWN",0,-106.21383,38.98348
"13829",22611,"ce769192-24c7-4f8c-8139-73d7b14bb929","3.0.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","d9f77a2f-9a24-4fa4-81b6-cc77fd29dd84","22-04","SEARCH","5/3/2022 8:11:00 PM",1,"YES",10,20,36,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",80,"MALE","FAIR","FAIR",1,-106.85866,38.65473
"13859",22654,"7adc757d-6cd9-4186-8b1a-1e3a1f7770f1","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","ab39b32b-058d-4be3-baac-2431cfb544a1","2022180","RESCUE","12/27/2022 10:39:00 PM",1,"YES",14,49,98,"","WILDERNESS","CITY",1,"CLIMBING",21,"MALE","","",0,-105.292198110111,39.9895473000487
"13882",22442,"dbd4453a-1a97-4af5-8fa2-68c9c58e525b","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","db3ef744-23eb-4508-b20a-6df22e5aa7a7","23P002032 OB Snowboarder Highlands-Below OLY Bowl","RESCUE","2/23/2023 1:00:00 AM",1,"YES",16,110,30,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",36,"MALE","UNKNOWN","UNKNOWN",1,-106.87879,39.15447
"13942",3633,"a29e025b-ae1b-481d-8034-55d95aa12e29","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","9a68b18d-ae61-4a22-9ea2-278206e39e66","2022050","RESCUE","5/27/2022 2:25:00 PM",1,"YES",9,31,68,"","WILDERNESS","CITY",1,"CLIMBING",24,"FEMALE","","",0,-105.292956410065,39.9897331882546
"13944",9421,"2d91e90f-8fdb-43ec-a389-3024b2c60eb4","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","cd1de9bd-836c-4033-8975-95733ee4bfe6","Mt. Silverthorne Recovery","RECOVERY","10/9/2020 1:00:00 PM",1,"NO",3,58,240,"AIRCRAFT-HELICOPTER","WILDERNESS","BLM",1,"HIKING",71,"MALE","UNKNOWN","UNKNOWN",0,-106.1778,39.65369
"13945",5591,"1a145c45-8667-4cfd-bb73-b7051d14b888","","Chaffee_County_SAR_North","Rocky Mountain Region","47545F77-BD99-449E-8520-888000DAB293","015-2018","RESCUE","6/23/2018 6:45:00 PM",1,"YES",18,106,488,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",25,"MALE","UNKNOWN","UNKNOWN",0,-106.47927,39.02351
"13951",1062,"86149675-b8cf-490d-8e8f-370034154064","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","97c1d24f-a6d5-45bb-b646-fa6d2fdb2ee2","21P007245 Viewline Medical","RESCUE","6/12/2021 5:45:00 PM",1,"YES",16,31,50,"","RURAL","COUNTY",1,"BIKING",68,"MALE","FAIR","UNKNOWN",0,-106.91329,39.21997
"13954",22482,"6cfc67ba-d9ef-49e1-8690-1be7c3303ab8","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","193c0797-22f0-48c6-bea1-b5afa28118e8","2022092","RESCUE","7/17/2022 1:14:00 AM",1,"YES",12,24,600,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"BIKING",16,"MALE","","",0,-105.338013905039,40.1135058849299
"13957",5147,"d2bf0117-3f61-46cf-b116-040a81ea5f77","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","14E577E5-6711-4E48-AD77-D46FA48170BF","00552","SEARCH","6/24/2018 11:00:00 AM",1,"YES",2,1,2,"","RURAL","COUNTY",1,"DRIVING",20,"MALE","GOOD","FAIR",1,-106.61113,39.6448500000001
"13971",7420,"4d33c0ca-ec0d-4ded-8483-e459bc0b9ce1","","Park_County_SAR","Rocky Mountain Region","D6407E75-82B7-40DD-8855-EC2393CC586F","Democrat Injured Snowshoer","RESCUE","2/2/2019 9:42:00 PM",1,"YES",12,216,210,"","WILDERNESS","NATIONAL_FOREST",1,"MOUNTAINEERING",34,"FEMALE","FAIR","POOR",0,-106.1347,39.34
"14025",4102,"2c285c90-ea1b-48dc-ad4b-04db2fa6f6b0","","Fremont_SAR","Rocky Mountain Region","33A8E396-81AD-454D-8CEF-39BD7E105326","2018-04","SEARCH","2/12/2018 1:00:00 AM",1,"YES",1,2,10,"","URBAN","OTHER",1,"RUNAWAY",45,"MALE","GOOD","POOR",1,-105.18269,38.44629
"14063",1188,"230865e3-9aff-4757-8ffe-38ec1d97f691","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","37589e61-c20b-4cf5-907e-ceca36982b0f","21P010622 American Lake","RESCUE","8/8/2021 7:30:00 PM",1,"YES",15,36,80,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",67,"MALE","FAIR","FAIR",0,-106.80496,39.07295
"14101",2997,"c4aeda22-758d-40ce-8113-5e4002b531cc","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","8dad5f18-9aea-426b-88ef-bdb53a03b5d8","2022014","RESCUE","3/26/2022 6:03:00 PM",1,"YES",20,60,40,"","WILDERNESS","STATE",1,"CLIMBING",37,"MALE","","",0,-105.28890127228,39.9327732840318
"14135",22614,"a3ae130b-9bfa-4e6d-89ed-c8c3e37fee42","3.0.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","fe57f26e-9372-4888-aaa2-a95888d01e22","22-07","RESCUE","7/14/2022 11:05:00 PM",1,"NO",7,52,153,"","WILDERNESS","NATIONAL_FOREST",3,"BIKING",53,"MALE","UNKNOWN","UNKNOWN",0,-106.88442,38.80886
"14169",3613,"ca49a961-b564-45d5-8d4b-4164e5b8cf3b","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","45482cf8-1723-445e-828d-59c5299fbf06","2022030","RESCUE","4/26/2022 6:58:00 PM",1,"YES",12,6,480,"","WILDERNESS","COUNTY",1,"HIKING",70,"FEMALE","","",0,-105.213298280333,40.2437968778522
"14190",8742,"b158c98b-a4d3-4cbb-8643-bdc39948b719","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","7aebbd04-7db3-4030-b89f-f30691db31b8","05162020_1","FIRE","5/16/2020 5:30:00 PM",1,"YES",15,58,400,"AIRCRAFT-UAV","WILDERNESS","BLM",1,"DRIVING",70,"MALE","UNKNOWN","UNKNOWN",0,-105.212110431,38.639237243
"14233",3573,"4bf08728-dc7d-40d3-8e41-c90205317266","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","9463fd38-f773-4c24-b7f5-fdeeca614858","22P010019 Capitol Lake Ankle","RESCUE","9/5/2022 3:00:00 PM",1,"YES",21,74,100,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",34,"MALE","EXCELLENT","EXCELLENT",0,-107.08149,39.16961
"14244",7357,"8c359e4d-6a96-495a-970f-17d9fe369f08","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","673831BB-AB49-4C8D-8C64-25E01E1A7D12","#01155 Overdue Hunter Marma Lake  4th Sep 2019","SEARCH","9/5/2019 4:15:00 AM",1,"YES",5,58,100,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",50,"MALE","GOOD","GOOD",1,-106.49693,39.75158
"14253",7935,"cdca94bf-6819-4add-823f-6791a0f8ee4e","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","cf97e628-3296-402c-b6c6-c59f068ebe8e","20P011919 Lyle Lake Knee","RESCUE","7/5/2020 10:00:00 PM",1,"YES",16,64,100,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",81,"FEMALE","UNKNOWN","UNKNOWN",0,-106.51740161,39.310745383
"14255",4612,"88152414-0391-4226-9546-b11a49d28675","","Chaffee_County_SAR_North","Rocky Mountain Region","DE35E35A-96B9-4227-A22F-CD2F5C05A069","2018-011","SEARCH","6/4/2018 8:10:00 PM",1,"YES",22,41,249,"","WATER","STATE",1,"CANOEING_KAYAKING_RAFTING",46,"MALE","UNKNOWN","POOR",0,-106.24088759,39.0224686080001
"14294",2740,"02b480e2-8936-4d0f-87cc-6bc81a23e3c3","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","16935c32-b63f-4511-93f4-1697ac3eaadc","McCurdy Separated Hiker","SEARCH","7/31/2021 1:00:00 PM",1,"YES",10,97,500,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",28,"MALE","GOOD","POOR",0,-105.46838,39.2191
"14348",22485,"76123876-d519-4988-8fe5-b7d96ffd75ea","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","2908d8fc-48f3-4cf4-8d0e-7634aa5f5c11","2022095","RESCUE","7/18/2022 3:19:00 AM",1,"YES",13,3,130,"","WILDERNESS","CITY",1,"HIKING",25,"MALE","","",0,-105.25666,39.93826
"14368",6229,"5748161e-78b3-471e-a746-2479f691365f","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","6f4eb8b6-c6da-4566-91df-c45ab73d4595","Mt Bross Overdue","RESCUE","8/19/2019 3:20:00 AM",1,"YES",5,37,279,"","WILDERNESS","NATIONAL_FOREST",3,"MOUNTAINEERING",35,"","GOOD","FAIR",3,-106.12,39.33
"14425",6292,"8151133b-5f7e-4b9a-b89d-de8af1b17c25","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","c136723c-1462-419b-b4ce-c6c30e178fbf","Elkhorn Ranches  Search","SEARCH","11/9/2019 2:00:00 PM",1,"YES",10,85,295,"","RURAL","PRIVATE",1,"DIMINISHED_CAPACITY:_OTHER",18,"MALE","GOOD","FAIR",0,-105.78,39.22
"14432",6590,"ee967226-ffca-462e-92e1-ededc308ab10","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","16f2259e-d197-4b5b-bebd-15fc6076bd75","2019.07.10 Assist to ROMO for Pruitt search (#7)","SEARCH","7/10/2019 2:00:00 PM",1,"NO",1,11,90,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",70,"MALE","","",0,-105.559316307,40.363954081
"14474",22634,"0f483467-7d89-4bea-88fb-e4d47c4f8232","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","37e4fe56-e515-4874-8595-6bf0945a67e2","2022159","RESCUE","10/20/2022 8:36:00 PM",1,"YES",11,15,66,"","WILDERNESS","CITY",1,"HIKING",72,"FEMALE","","",0,-105.301570475704,40.0162438515261
"14475",9143,"af8934c4-831f-465a-89aa-0c8069d6a7c9","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","80f25419-a9b5-461a-a83a-701122560149","2020-093","SEARCH","9/24/2020 3:27:00 PM",1,"YES",13,24,38,"","SUBURBAN","CITY",1,"RUNAWAY",10,"MALE","","",1,-104.71486,39.53018
"14516",3782,"afa078af-9558-4754-a24d-b9ba7e02a277","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","991066F3-5567-4913-8480-5411A40BD86B","2018-16","MEDICAL_AID","7/22/2018 9:00:00 PM",1,"YES",4,8,30,"","RURAL","NATIONAL_FOREST",1,"FISHING",40,"MALE","","",0,-106.80418,38.7079000000001
"14551",6913,"084faf8a-1ff4-4ac9-8e7e-3987c37afbde","2.1.1-MRA","Garfield_County_SAR","Rocky Mountain Region","adaa59e2-ba5d-4fda-b0b9-4973f6cdffcc","2019.03.18","RECOVERY","3/18/2019 2:51:00 PM",1,"YES",7,24,100,"","WATER","BLM",1,"OTHER",77,"","UNKNOWN","UNKNOWN",0,-108.048217281,39.4560267190001
"14609",23444,"9357c2d2-e4be-4d6e-8598-3a646d8c4599","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","3312ba6e-4b86-48ec-811d-cd4a8a70a8b3","230709_BuffaloPeaks_FatiguedHikers","RESCUE","7/10/2023 12:09:00 AM",1,"NO",1,0,0,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",58,"FEMALE","UNKNOWN","UNKNOWN",2,-106.12028,38.97222
"14617",3570,"4f8ad443-e564-4700-84da-9b30ce687169","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","d5a255a7-d59f-463b-a916-062ad4ec5932","22009913 Capitol Peak Climber Recovery","RECOVERY","9/3/2022 2:00:00 PM",1,"YES",25,183,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",34,"FEMALE","GOOD","GOOD",0,-107.07958,39.15073
"14690",22657,"858bc9fc-80f0-4b8f-8896-f45b9d26706a","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","2643f208-fac6-4cdb-93d2-4330e914fe5f","2023003","RESCUE","1/22/2023 10:12:00 PM",1,"YES",15,45,750,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",34,"FEMALE","","",0,-105.549886248317,40.045793733959
"14710",6209,"c6da96bb-490e-4c0f-b9fd-79952e08aa30","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","f229b5aa-da07-497b-b166-b7ca2b05f116","Two Missing Females","SEARCH","7/8/2019 10:49:00 PM",1,"YES",7,35,115,"","RURAL","PRIVATE",2,"RUNAWAY",17,"FEMALE","FAIR","FAIR",0,-105.41,39.4900000000001
"14725",10677,"e967306a-eb61-4e31-b25b-638712006086","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","d8c7e018-d5bf-43d6-a52f-b40c6f8129dc","21P003954 Rim Trail Stranded","RESCUE","4/6/2021 7:00:00 PM",1,"YES",22,58,20,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",35,"MALE","UNKNOWN","UNKNOWN",2,-106.9451,39.2171000000001
"14740",1721,"7bad5928-ae06-4286-81a0-e368f4298a77","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","32fa63f0-0b34-48fd-a3e2-b198e4c51fd3","20211101 Boreas Pass Injured Hunter","RESCUE","11/1/2021 1:22:00 PM",1,"YES",7,7,75,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",63,"MALE","FAIR","GOOD",0,-105.930626,39.35957
"14749",3976,"ab26302f-daf0-4eb5-9f07-9a2475e4c400","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","8E9EEC99-DF39-4AE5-837A-5BF769B27DF0","00399","RESCUE","2/17/2018 10:18:00 PM",1,"YES",8,23,50,"","WILDERNESS","NATIONAL_FOREST",2,"FOUR_WHEEL_DRIVING",32,"MALE","FAIR","POOR",2,-106.75494,39.7578100000001
"14757",23401,"06100975-53fc-4fef-81ef-312d375a7b49","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","9205aac0-7adb-4b86-8827-d02f310b657f","23P005590 Arbaney Kittle Leg Injury","RESCUE","6/10/2023 6:30:00 PM",1,"YES",28,80,120,"","RURAL","BLM",1,"HIKING",26,"FEMALE","UNKNOWN","UNKNOWN",0,-107.00399,39.3645
"14783",7337,"49a406a0-293b-43c6-ae9d-ee28d63c6b5f","","Fremont_SAR","Rocky Mountain Region","C8B97334-B42E-40E1-8119-A71BCC954F13","2019-8","SEARCH","4/17/2019 3:00:00 PM",2,"NO",6,19,300,"AIRCRAFT-HELICOPTER","WILDERNESS","MILITARY",1,"OTHER",25,"FEMALE","GOOD","FAIR",1,-104.75678,38.4458300000001
"14791",7443,"ad1536c5-e559-4a8e-85f5-9518c4d642f0","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","C97F281D-EED7-44AA-BABD-B81C8189EB6B","01220","MEDICAL_AID","11/9/2019 2:30:00 PM",1,"YES",8,21,40,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",50,"MALE","FAIR","GOOD",1,-106.596964333,39.6451325850001
"14826",4105,"37f949d6-d483-4e23-934a-129ada985293","","Fremont_SAR","Rocky Mountain Region","E373C280-D463-4DD1-8034-BC8E2C3EC110","2018-07","SEARCH","3/10/2018 2:00:00 AM",1,"YES",16,54,320,"","RURAL","PRIVATE",1,"DIMINISHED_CAPACITY:_OTHER",30,"MALE","GOOD","POOR",1,-105.05723,38.4179100000001
"14835",2977,"92bec580-e228-4003-804c-413db09d2ccd","3.0.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","9a067693-4237-4767-a726-28d768ac479a","21-03","MEDICAL_AID","2/5/2021 7:15:00 AM",1,"YES",6,36,135,"","RURAL","COUNTY",1,"OTHER",76,"male","UNKNOWN","UNKNOWN",1,-106.4798084,38.75548
"14839",8931,"2e31e3e1-2a87-48b2-b59f-3cb557de7103","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","048bb4fc-78bd-4dd3-86b0-e3f326d33e43","20P015946 East Snowmass Hunter","RESCUE","9/8/2020 5:00:00 AM",1,"YES",25,162,120,"","WILDERNESS","NATIONAL_FOREST",1,"HORSEBACK_RIDING",70,"MALE","GOOD","GOOD",0,-106.9801,39.1504
"14901",7955,"44cbe533-d9ff-445e-ba13-792508c08755","2.1.2-MRA","Park_County_SAR","Rocky Mountain Region","439d7b11-0ccd-4e31-b9dd-4c02b9f5757b","HIker with InReach Problem","SEARCH","7/12/2020 5:10:00 PM",1,"YES",3,3,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",29,"FEMALE","EXCELLENT","GOOD",1,-105.44864,39.2156230000001
"14935",8147,"7022086f-6e29-4d27-b09d-ca40f148dbdf","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","ade8f897-f2ec-4a2b-aa63-9d1d1341c9b4","01622","MEDICAL_AID","9/25/2020 5:25:00 AM",1,"YES",3,12,140,"","RURAL","NATIONAL_FOREST",1,"OHV/ATV",17,"FEMALE","UNKNOWN","UNKNOWN",0,-107.001727586,39.5425156090001
"14959",3759,"60de29f1-e97f-4b14-97b7-d5f34e6a27c0","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","B32722EA-DEC4-4B56-8995-A348E2E63DEB","2018-02","MEDICAL_AID","2/28/2018 9:08:00 PM",1,"YES",13,91,80,"","RURAL","NATIONAL_FOREST",1,"SNOW_SKIING",64,"MALE","FAIR","FAIR",0,-106.3419,38.48835
"14964",7036,"9c0f9b6a-aa47-4818-aacf-7d800b9e2436","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","12394349-49CD-45B2-8D97-E8935CE84CC5","00873","SEARCH","1/30/2019 12:30:00 AM",1,"YES",12,157,15,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",34,"MALE","EXCELLENT","EXCELLENT",1,-106.82286171,39.6526813300001
"14967",22668,"59e3a1bf-d2c5-4003-832d-3610abc0c9f4","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","0f799b6a-be7b-477e-83dc-9823e1f80e0c","2023014","RESCUE","3/25/2023 7:01:00 PM",1,"YES",7,21,329,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",21,"FEMALE","","",1,-105.52973,40.08826
"15072",7334,"4f308949-7647-4dfa-96b3-d56ce299483a","","Fremont_SAR","Rocky Mountain Region","761DC3E2-DBC5-4055-839A-48FC1A723C24","2019-5","SEARCH","4/12/2019 1:30:00 AM",1,"YES",2,4,0,"","URBAN","PRIVATE",1,"OTHER",45,"MALE","UNKNOWN","UNKNOWN",1,-105.11671,38.38852
"15114",4225,"315436ab-1aac-43cb-b9ac-41751e95386b","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","B6F0D259-15D3-4805-9CE0-B4788372892E","00450","RESCUE","3/27/2018 7:30:00 AM",1,"YES",4,17,25,"","WILDERNESS","NATIONAL_FOREST",2,"FOUR_WHEEL_DRIVING",24,"MALE","FAIR","POOR",2,-106.37079,39.47234
"15153",4526,"8bf0d79f-d65d-4eba-897b-d1b94a4d047b","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","3D8CCD51-BB54-4144-A7E1-095C7DF37DF8","#00408","SEARCH","2/21/2018 5:26:00 AM",2,"NO",3,26,55,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",65,"MALE","GOOD","GOOD",0,-105.81585,39.7703100000001
"15199",6226,"dd34f48c-bf57-4cb1-859e-b6756d0f5d12","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","566e0962-2d2e-4c47-a308-cbda0c249f8c","French Pass Bike Race","RESCUE","8/13/2019 7:30:00 PM",1,"YES",7,19,170,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"BIKING",31,"MALE","EXCELLENT","",0,-105.94,39.4300000000001
"15200",4609,"f195789b-f032-4452-bca7-9fa0b096a5ef","","Chaffee_County_SAR_North","Rocky Mountain Region","046F8082-F8F9-4DF0-AEA4-1FB4D251BCF0","006-2018","RESCUE","4/18/2018 6:30:00 PM",1,"NO",6,14,35,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",26,"MALE","UNKNOWN","UNKNOWN",0,-106.21172,38.4249600000001
"15269",20842,"92818a07-85f7-4f2d-8e29-575230c2c216","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","60902709-2d50-475e-8336-1f4ab05c1aab","Lory State Park XC Skier Lost Off-trail","SEARCH","2/3/2022 1:00:00 AM",1,"YES",10,32,200,"","WILDERNESS","COUNTY",1,"SNOW_SKIING",49,"MALE","UNKNOWN","UNKNOWN",1,-105.174533,40.56432
"15337",7331,"32a8f8ea-a1f6-498c-a810-2b76cb3c77ad","","Fremont_SAR","Rocky Mountain Region","35BDC84C-BA7D-4DBB-87C6-251065CA81B0","2019-2","SEARCH","1/26/2019 10:00:00 PM",1,"YES",18,24,270,"AIRCRAFT-HELICOPTER","RURAL","CITY",1,"HIKING",16,"FEMALE","FAIR","POOR",1,-105.26082,38.41697
"15421",6587,"d2f717da-3297-4a24-a8de-794e06969d43","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","16f2259e-d197-4b5b-bebd-15fc6076bd75","2019.06.25 Assist to ROMO for Pruitt search (#5)","SEARCH","6/25/2019 2:00:00 PM",1,"NO",1,11,90,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",70,"MALE","","",0,-105.559316307,40.363954081
"15488",8333,"7f438a40-0a61-4d2a-8235-e483d6daf3c1","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","79c00736-418e-4a63-aac0-c3797b368c76","20P019573 Crown Mtn Medical","RESCUE","12/8/2020 6:45:00 PM",1,"YES",12,18,200,"","RURAL","BLM",1,"HIKING",74,"MALE","UNKNOWN","UNKNOWN",0,-107.13507,39.32061
"15492",22651,"5928854e-8651-418c-8961-b64c31e2c69d","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","b25b2562-8e32-4e02-bdce-927305c0ef1b","2022177","RESCUE","12/16/2022 8:53:00 PM",1,"YES",16,32,582,"","WILDERNESS","COUNTY",1,"BIKING",37,"MALE","","",0,-105.303180110807,40.2107301670168
"15505",6203,"265e1b8b-b5c5-46d7-b8f4-eb5be82c188b","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","b278cea4-226c-4145-a6a8-f171a5db1784","#01289","RESCUE","12/27/2019 12:15:00 AM",1,"YES",7,35,80,"","WILDERNESS","NATIONAL_FOREST",2,"SNOWMOBILING",45,"MALE","FAIR","POOR",2,-106.499004011,39.6948756560001
"15517",8141,"019cc07a-e888-4186-99e6-d4ac3d625b97","2.2.0-MRA","Larimer_County_SAR","Rocky Mountain Region","00790aa1-8f08-4438-aa25-acc221f3beb7","FC PD assist in","SEARCH","9/18/2020 12:09:00 AM",1,"YES",9,18,90,"","SUBURBAN","CITY",1,"ALZHEIMERS_DEMENTIA",71,"MALE","GOOD","FAIR",1,-105.11019,40.5275710000001
"15528",8436,"c026aa7d-5d9d-46ff-a1c0-e8a14699cf91","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","4f7fba9a-04b3-4aaf-99a1-7bfb7acc8992","CO Trail Injured Hiker","RESCUE","7/11/2020 9:14:00 PM",1,"YES",6,13,61,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",19,"MALE","","FAIR",0,-105.61683,39.34918
"15541",1097,"30286001-e158-459c-8e8d-5aac9cb3dce2","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","918792fe-f803-4119-8d5a-edb736387527","2021 07 07_CO Trail_Hiker","SEARCH","7/7/2021 7:00:00 PM",1,"YES",13,91,408,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",22,"FEMALE","POOR","FAIR",2,-105.4854,39.303
"15550",6206,"5bb7ee4e-89d1-4809-b2d1-10cce1fba2f6","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","256113fd-e31a-464f-ab6b-f64a71e7d158","White Ridge","RECOVERY","6/21/2019 2:11:00 PM",1,"",7,42,127,"","WILDERNESS","NATIONAL_FOREST",2,"MOUNTAINEERING",30,"MALE","GOOD","FAIR",1,-106.16,39.21
